data_number,chemical_formula,tc_kelvin,quality_tier,quality_score,quality_badges
156043,Ba1Pt0.3Si1.7,2.6,tier1_strict,5,"Tier1, StableFormula, Modern"
156044,Ba1Cu0.3Si1.7,3.0,tier1_strict,5,"Tier1, StableFormula, Modern"
156045,Ba1Ag0.3Si1.7,3.2,tier1_strict,5,"Tier1, StableFormula, Modern"
156046,Ba1Au0.3Si1.7,3.2,tier1_strict,5,"Tier1, StableFormula, Modern"
156047,Ba1Ag0.2Si1.8,3.2,tier1_strict,5,"Tier1, StableFormula, Modern"
156048,Ba1Cu0.2Si1.8,3.02,tier1_strict,5,"Tier1, StableFormula, Modern"
156049,Ba1Pd0.2Si1.8,2.91,tier1_strict,5,"Tier1, StableFormula, Modern"
156050,Ba1Ag0.4Si1.6,2.79,tier1_strict,5,"Tier1, StableFormula, Modern"
156051,Ba1Cu0.4Si1.6,2.11,tier1_strict,5,"Tier1, StableFormula, Modern"
156052,Ba1Pd0.4Si1.6,1.11,tier1_strict,5,"Tier1, StableFormula, Modern"
156053,Ba1Ag0.5Si1.5,1.21,tier1_strict,5,"Tier1, StableFormula, Modern"
156054,Ba1Cu0.5Si1.5,2.53,tier1_strict,5,"Tier1, StableFormula, Modern"
156055,Ba1Pd0.5Si1.5,0.6,tier1_strict,5,"Tier1, StableFormula, Modern"
156056,Ba1Cu0.6Si1.4,1.74,tier1_strict,5,"Tier1, StableFormula, Modern"
156057,Eu0.7Na0.3Fe2As2,32.0,tier1_strict,5,"Tier1, StableFormula, Modern"
156061,Mg1B1.968C0.032,37.0,tier1_strict,5,"Tier1, StableFormula, Modern"
156062,Mg1B1.938C0.062,37.0,tier1_strict,5,"Tier1, StableFormula, Modern"
156064,Sr2V0.9Mg0.1Fe1As1O3,30.0,tier1_strict,5,"Tier1, StableFormula, Modern"
156065,K1Ni2S2,0.46,tier1_strict,5,"Tier1, StableFormula, Modern"
156068,La1Fe1As0.6P0.4F0.1O0.9,27.0,tier2_standard,6,"Tier2, StableFormula, ReliableMeasurement, Modern"
156069,La1Fe1As0.2P0.8F0.1O0.9,8.8,tier1_strict,5,"Tier1, StableFormula, Modern"
156071,La1Fe1As0.6P0.4F0.05O0.95,19.04,tier1_strict,7,"Tier1, StableFormula, ReliableMeasurement, Modern"
156072,La1Fe1As0.4P0.6F0.05O0.95,24.12,tier1_strict,7,"Tier1, StableFormula, ReliableMeasurement, Modern"
156075,La1Fe1As0.1P0.9O1,5.96,tier1_strict,5,"Tier1, StableFormula, Modern"
156076,La1Fe1As0.15P0.85O1,11.67,tier1_strict,5,"Tier1, StableFormula, Modern"
156077,La1Fe1As0.2P0.8O1,11.42,tier1_strict,5,"Tier1, StableFormula, Modern"
156078,La1Fe1As0.25P0.75O1,7.52,tier1_strict,5,"Tier1, StableFormula, Modern"
156088,La1Fe1As0.2P0.8F0.05O0.95,10.87,tier1_strict,5,"Tier1, StableFormula, Modern"
156090,La1Fe1As0.5P0.5F0.05O0.95,21.2,tier1_strict,5,"Tier1, StableFormula, Modern"
156092,La1Fe1As0.7P0.3F0.05O0.95,15.75,tier1_strict,5,"Tier1, StableFormula, Modern"
156093,La1Fe1As0.75P0.25F0.05O0.95,22.38,tier1_strict,5,"Tier1, StableFormula, Modern"
156094,La1Fe1As0.8P0.2F0.05O0.95,25.61,tier1_strict,5,"Tier1, StableFormula, Modern"
156095,La1Fe1As0.9P0.1F0.05O0.95,23.6,tier1_strict,5,"Tier1, StableFormula, Modern"
156097,La1Fe1As0.4P0.6F0.1O0.9,21.27,tier1_strict,7,"Tier1, StableFormula, ReliableMeasurement, Modern"
156102,La1Fe0.9997Mn0.00025As1F0.11O0.89,22.8,tier1_strict,5,"Tier1, StableFormula, Modern"
156103,La1Fe0.999Mn0.001As1F0.11O0.89,10.336666666666666,tier1_strict,7,"Tier1, StableFormula, ReliableMeasurement, Modern"
156104,La0.8Y0.2Fe1As1F0.11O0.89,31.75,tier1_strict,5,"Tier1, StableFormula, Modern"
156105,La0.8Y0.2Fe0.997Mn0.003As1F0.11O0.89,28.9,tier1_strict,7,"Tier1, StableFormula, ReliableMeasurement, Modern"
156106,La0.8Y0.2Fe0.995Mn0.005As1F0.11O0.89,27.133333333333336,tier1_strict,7,"Tier1, StableFormula, ReliableMeasurement, Modern"
156107,La0.8Y0.2Fe0.99Mn0.01As1F0.11O0.89,25.3,tier1_strict,5,"Tier1, StableFormula, Modern"
156108,Sm1Fe0.965Mn0.035As1F0.11O0.89,31.3,tier1_strict,5,"Tier1, StableFormula, Modern"
156109,Sr0.1Bi2Se3,2.8275,tier1_strict,7,"Tier1, StableFormula, ReliableMeasurement, Modern"
156111,Sr0.062Bi2Se3,2.48,tier2_standard,5,"Tier2, StableFormula, ReliableMeasurement"
156112,Sr0.065Bi2Se3,4.5840000000000005,tier1_strict,4,"Tier1, StableFormula"
156115,Th1Pt3B1,0.75,tier1_strict,5,"Tier1, StableFormula, Modern"
156117,Li0.84H1Fe1.14Se1O1,42.0,tier1_strict,5,"Tier1, StableFormula, Modern"
156120,Ce3Pt1In11,0.32,tier1_strict,5,"Tier1, StableFormula, Modern"
156121,Ba1Fe1.935Ni0.065As2,8.966666666666667,tier1_strict,5,"Tier1, StableFormula, Modern"
156123,Ba1Fe1.915Ni0.085As2,17.5,tier1_strict,7,"Tier1, StableFormula, ReliableMeasurement, Modern"
156128,Ba1Fe1.88Ni0.12As2,18.8,tier1_strict,7,"Tier1, StableFormula, ReliableMeasurement, Modern"
156131,Ba1Fe1.8Ni0.2As2,5.800000000000001,tier1_strict,7,"Tier1, StableFormula, ReliableMeasurement, Modern"
156132,Ba1Fe1.78Ni0.22As2,3.4,tier1_strict,5,"Tier1, StableFormula, Modern"
156136,Ba6Nb10O30,1.625,tier1_strict,7,"Tier1, StableFormula, ReliableMeasurement, Modern"
156137,Ba5Sr1Nb10O30,0.96,tier1_strict,5,"Tier1, StableFormula, Modern"
156138,Ba4Sr2Nb10O30,0.98,tier1_strict,5,"Tier1, StableFormula, Modern"
156145,Ba0.818Na0.182Fe2As2,6.4,tier1_strict,5,"Tier1, StableFormula, Modern"
156146,Ba0.779Na0.221Fe2As2,8.0,tier1_strict,5,"Tier1, StableFormula, Modern"
156147,Ba0.698Na0.302Fe2As2,18.0,tier1_strict,5,"Tier1, StableFormula, Modern"
156148,Ba0.68Na0.32Fe2As2,23.8,tier1_strict,5,"Tier1, StableFormula, Modern"
156149,Ba0.64Na0.36Fe2As2,31.0,tier1_strict,5,"Tier1, StableFormula, Modern"
156152,Ba0.737K0.263Fe2As2,24.0,tier1_strict,5,"Tier1, StableFormula, Modern"
156153,Ba0.65K0.35Fe2As2,38.0,tier1_strict,5,"Tier1, StableFormula, Modern"
156157,Ca0.941Pr0.059Fe2As2,28.9,tier1_strict,5,"Tier1, StableFormula, Modern"
156158,Ca0.875Pr0.125Fe2As2,49.0,tier1_strict,5,"Tier1, StableFormula, Modern"
156159,Ca0.891La0.109Fe2As2,45.4,tier1_strict,5,"Tier1, StableFormula, Modern"
156160,Ca0.857La0.143Fe2As2,44.0,tier1_strict,5,"Tier1, StableFormula, Modern"
156161,Pb1Ta1Se2,3.493333333333333,tier1_strict,7,"Tier1, StableFormula, ReliableMeasurement, Modern"
156163,Ce0.987Yb0.013Co1In5,2.13,tier1_strict,5,"Tier1, StableFormula, Modern"
156164,Ce0.916Yb0.084Co1In5,1.84,tier1_strict,5,"Tier1, StableFormula, Modern"
156165,Ce0.837Yb0.163Co1In5,1.4,tier1_strict,5,"Tier1, StableFormula, Modern"
156166,Ce1Co1In4.98Cd0.02,2.14,tier1_strict,5,"Tier1, StableFormula, Modern"
156167,Ce1Co1In4.96Cd0.04,2.05,tier1_strict,5,"Tier1, StableFormula, Modern"
156168,Ce1Co1In4.945Cd0.055,1.92,tier1_strict,5,"Tier1, StableFormula, Modern"
156170,Mo5P0.9B2.1,8.9,tier1_strict,5,"Tier1, StableFormula, Modern"
156171,Mo5P1B2,8.7,tier1_strict,5,"Tier1, StableFormula, Modern"
156172,Mo5P1.1B1.9,9.2,tier1_strict,5,"Tier1, StableFormula, Modern"
156174,Zr1B12,6.09,tier1_strict,5,"Tier1, StableFormula, Modern"
156175,Zr0.993Lu0.007B12,5.89,tier1_strict,7,"Tier1, StableFormula, ReliableMeasurement, Modern"
156176,Zr0.985Lu0.015B12,5.67,tier1_strict,5,"Tier1, StableFormula, Modern"
156177,Zr0.984Lu0.016B12,5.65,tier1_strict,5,"Tier1, StableFormula, Modern"
156178,Zr0.935Lu0.065B12,4.77,tier1_strict,5,"Tier1, StableFormula, Modern"
156179,Zr0.926Lu0.074B12,4.635,tier1_strict,7,"Tier1, StableFormula, ReliableMeasurement, Modern"
156180,Bi2Te1,8.6,tier1_strict,5,"Tier1, StableFormula, Modern"
156183,Pr1Pt4Ge11.5Sb0.5,4.43,tier1_strict,5,"Tier1, StableFormula, Modern"
156184,Pr1Pt4Ge11Sb1,2.68,tier1_strict,5,"Tier1, StableFormula, Modern"
156185,Pr1Pt4Ge10.5Sb1.5,1.71,tier1_strict,5,"Tier1, StableFormula, Modern"
156186,Pr1Pt4Ge10Sb2,1.27,tier1_strict,5,"Tier1, StableFormula, Modern"
156187,Pr1Pt4Ge9.5Sb2.5,0.69,tier1_strict,5,"Tier1, StableFormula, Modern"
156188,Pr1Pt4Ge9Sb3,1.4,tier1_strict,5,"Tier1, StableFormula, Modern"
156189,Pr1Pt4Ge8Sb4,1.4,tier1_strict,5,"Tier1, StableFormula, Modern"
156193,Bi2.13F0.17S2O0.83,3.2,tier1_strict,5,"Tier1, StableFormula, Modern"
156194,Bi2.14F0.27S2O0.73,2.7,tier1_strict,5,"Tier1, StableFormula, Modern"
156195,Bi2.14F0.24S2O0.76,3.5,tier1_strict,5,"Tier1, StableFormula, Modern"
156202,Sr3Rh8B6,3.4,tier1_strict,5,"Tier1, StableFormula, Modern"
156205,Ca3Rh8B2,4.0,tier1_strict,5,"Tier1, StableFormula, Modern"
156206,Y3Os8B6,5.8,tier1_strict,5,"Tier1, StableFormula, Modern"
156208,Pd0.02Ir1Te2,2.15,tier1_strict,5,"Tier1, StableFormula, Modern"
156209,Pd0.03Ir1Te2,2.68,tier1_strict,5,"Tier1, StableFormula, Modern"
156211,Pd0.03Ir0.97Te2,2.7,tier1_strict,5,"Tier1, StableFormula, Modern"
156212,Pd0.04Ir0.96Te2,2.99,tier1_strict,5,"Tier1, StableFormula, Modern"
156213,Y1Fe2Ge2,1.155,tier1_strict,7,"Tier1, StableFormula, ReliableMeasurement, Modern"
156301,Cs0.96Bi4Te6,4.4,tier1_strict,5,"Tier1, StableFormula, Modern"
156302,Cs1Bi4.1Te5.9,4.4,tier1_strict,5,"Tier1, StableFormula, Modern"
156303,Sn0.5In0.5Te1,4.4,tier1_strict,5,"Tier1, StableFormula, Modern"
156304,Ge3Nb5,0.455,tier1_strict,6,"Tier1, StableFormula, ReliableMeasurement"
156306,W4.8Ta0.2Si1B2,6.5,tier1_strict,5,"Tier1, StableFormula, Modern"
156316,La0.8Y0.2Fe1As1O0.7,34.0,tier1_strict,5,"Tier1, StableFormula, Modern"
156317,La1Fe1As1H0.58O0.58,32.0,tier1_strict,5,"Tier1, StableFormula, Modern"
156319,La1Fe1As0.8P0.2F0.1O0.9,26.0,tier1_strict,5,"Tier1, StableFormula, Modern"
156320,Pr1Fe1P1F0.1O0.9,2.34,tier1_strict,5,"Tier1, StableFormula, Modern"
156321,Pr1Fe1As0.2P0.8F0.1O0.9,8.71,tier1_strict,5,"Tier1, StableFormula, Modern"
156322,Pr1Fe1As0.4P0.6F0.1O0.9,17.4,tier1_strict,5,"Tier1, StableFormula, Modern"
156323,Pr1Fe1As0.6P0.4F0.1O0.9,23.4,tier1_strict,5,"Tier1, StableFormula, Modern"
156324,Pr1Fe1As0.8P0.2F0.1O0.9,29.2,tier1_strict,5,"Tier1, StableFormula, Modern"
156325,Pr1Fe1As0.9P0.1F0.1O0.9,35.2,tier1_strict,5,"Tier1, StableFormula, Modern"
156327,Nd1Fe1P1F0.1O0.9,2.9,tier1_strict,5,"Tier1, StableFormula, Modern"
156328,Nd1Fe1As0.2P0.8F0.1O0.9,6.98,tier1_strict,5,"Tier1, StableFormula, Modern"
156329,Nd1Fe1As0.4P0.6F0.1O0.9,22.6,tier1_strict,5,"Tier1, StableFormula, Modern"
156330,Nd1Fe1As0.5P0.5F0.1O0.9,25.2,tier1_strict,5,"Tier1, StableFormula, Modern"
156331,Nd1Fe1As0.6P0.4F0.1O0.9,28.0,tier1_strict,5,"Tier1, StableFormula, Modern"
156332,Nd1Fe1As0.7P0.3F0.1O0.9,29.5,tier1_strict,5,"Tier1, StableFormula, Modern"
156333,Nd1Fe1As0.8P0.2F0.1O0.9,34.1,tier1_strict,5,"Tier1, StableFormula, Modern"
156337,Sc1Ir1P1,3.46,tier1_strict,5,"Tier1, StableFormula, Modern"
156340,Sr1Pd2Sb2,1.25,tier1_strict,7,"Tier1, StableFormula, ReliableMeasurement, Modern"
156342,Sn0.85Ag0.15Te1,2.15,tier1_strict,5,"Tier1, StableFormula, Modern"
156343,Sn0.8Ag0.2Te1,1.8633333333333333,tier1_strict,7,"Tier1, StableFormula, ReliableMeasurement, Modern"
156344,Sn0.75Ag0.25Te1,2.2,tier1_strict,5,"Tier1, StableFormula, Modern"
156345,Sn0.67Ag0.33Te1,1.95,tier1_strict,5,"Tier1, StableFormula, Modern"
156347,Sn0.6Ag0.4Te1,1.95,tier1_strict,5,"Tier1, StableFormula, Modern"
156348,Eu1Rb1Fe4As4,36.40583333333333,tier2_standard,6,"Tier2, StableFormula, ReliableMeasurement, Modern"
156349,Eu1Cs1Fe4As4,35.0,tier2_standard,6,"Tier2, StableFormula, ReliableMeasurement, Modern"
156350,Nd1Bi1S2F0.29O0.71,5.2,tier1_strict,5,"Tier1, StableFormula, Modern"
156352,Pr1V2Al20,0.0456666666666666,tier1_strict,7,"Tier1, StableFormula, ReliableMeasurement, Modern"
156356,Pr1Ti2Al20,0.452,tier1_strict,7,"Tier1, StableFormula, ReliableMeasurement, Modern"
156357,Y1Pd2P2,0.96,tier1_strict,5,"Tier1, StableFormula, Modern"
156358,La1Pd2P2,0.75,tier1_strict,5,"Tier1, StableFormula, Modern"
