feature,f_score,mi_score,rf_importance,f_score_norm,mi_score_norm,rf_importance_norm,composite_score
MagpieData minimum GSvolume_pa,2371.998276226977,0.5920764228696558,0.0003303158190676663,0.17549735260525134,0.6918693007448081,0.0003303158190676663,0.2892323230563757
MagpieData range NpValence,5729.755962276831,0.36360165755758933,4.445440079824952e-05,0.42402722194230724,0.42488573239371147,4.445440079824952e-05,0.2829858029122723
7-norm,2260.157514867556,0.5822856808683765,0.000389200652115221,0.16721927764984462,0.6804283556901708,0.000389200652115221,0.28267894466404353
MagpieData avg_dev Row,2946.6802615116785,0.531591207363844,0.0034027902124251714,0.21803336981297017,0.6211894659448034,0.0034027902124251714,0.28087520865673293
MagpieData mean Column,396.82923907969854,0.687144564224333,0.0021788115401069957,0.02930201970191,0.8029609199033187,0.0021788115401069957,0.2781472503817786
avg p valence electrons,1089.8297668589892,0.6444709912800954,0.0006981030829076395,0.08059557531941344,0.7530948317890283,0.0006981030829076395,0.27812950339711645
MagpieData mean NpValence,1089.8297668589892,0.6446006355970004,0.0005348518954731403,0.08059557531941344,0.7532463273045021,0.0005348518954731403,0.2781255848397962
MagpieData mean Electronegativity,1624.9286500856374,0.6061775238996017,0.0018219927011849152,0.12020178516690655,0.7083471041709857,0.0018219927011849152,0.27679029401302574
MagpieData range Row,6243.799565266478,0.3096355203330443,0.0005856710428291992,0.46207499114713646,0.36182374886719615,0.0005856710428291992,0.27482813701905395
MagpieData mean NpUnfilled,569.9394575525739,0.6596929832092764,0.0023966454560355333,0.042115052684223345,0.7708824492404058,0.0023966454560355333,0.27179804912688826
10-norm,2089.883498373595,0.5589317880151645,0.0007975263910990179,0.15461617074711756,0.6531382274332346,0.0007975263910990179,0.2695173081904837
MagpieData maximum MeltingT,1495.6277107004946,0.595833043497259,0.00045004638805757664,0.11063136687732691,0.6962590896071752,0.00045004638805757664,0.2691135009575199
MagpieData minimum NUnfilled,4924.130450267738,0.3789310101128436,5.1357141791678696e-05,0.3643975458444573,0.44279880581398046,5.1357141791678696e-05,0.2690825696000765
MagpieData mean Row,2208.6421464919836,0.5398414546927679,0.0034500688374533603,0.1634062842869158,0.6308302701213462,0.0034500688374533603,0.2658955410819051
MagpieData maximum NpValence,5252.0373725455165,0.3417442005669238,7.59396184411667e-05,0.3886681073822926,0.399344260211968,7.59396184411667e-05,0.26269610240423397
MagpieData minimum Row,5356.541217141689,0.3186974550815651,4.64785941447402e-06,0.3964031285693817,0.372413048180056,4.64785941447402e-06,0.2562736082029507
avg d valence electrons,959.8066681863342,0.5960523047721464,0.0007123130250729516,0.07097170524142406,0.6965153067762385,0.0007123130250729516,0.2560664416809118
MagpieData mean NdValence,959.8066681863342,0.5950090389914617,0.0008707649831318765,0.07097170524142406,0.6952962013731304,0.0008707649831318765,0.25571289053256213
MagpieData minimum Column,3001.089666507844,0.4644575495649912,7.888195588871587e-05,0.22206056998008883,0.5427406119056367,7.888195588871587e-05,0.2549600212805381
MagpieData mean CovalentRadius,1127.1384665910807,0.5657783877840981,0.002807588779538401,0.08335703911058424,0.6611388030542882,0.002807588779538401,0.24910114364813693
transition metal fraction,544.4945679761975,0.601316362287041,0.0026917193667823974,0.04023170800215007,0.702666606931476,0.0026917193667823974,0.24853001143346945
MagpieData avg_dev NpUnfilled,51.86348446536096,0.6269378950540974,0.003061219471557597,0.003768821080624122,0.7326065796695155,0.003061219471557597,0.2464788734072324
MagpieData range NdValence,4188.177916641135,0.3616310978604389,0.0003853474122911965,0.30992482800052323,0.4225830401954046,0.0003853474122911965,0.24429773853607303
MagpieData mean NValence,736.5718895474664,0.574923114750522,0.004726776109918905,0.054448621816701716,0.6718248489891975,0.004726776109918905,0.24366674897193938
